1.61,3.9372,1.61,3.9216
1.62,3.9331,1.62,3.9474
1.63,3.9893,1.63,3.9732
1.64,4.0134,1.64,3.999
1.65,4.0137,1.65,4.0248
1.66,4.0698,1.66,4.0506
1.67,4.0718,1.67,4.0764
1.68,4.1272,1.68,4.1022
1.69,4.1565,1.69,4.128
1.7,4.1493,1.7,4.1538
1.71,4.2078,1.71,4.1796
1.72,4.203,1.72,4.2054
1.73,4.2607,1.73,4.2312
1.74,4.2943,1.74,4.257
1.75,4.2888,1.75,4.2828
1.76,4.3466,1.76,4.3086
1.77,4.3454,1.77,4.3344
1.78,4.4032,1.78,4.3602
1.79,4.4279,1.79,4.386
1.8,4.4269,1.8,4.4118
1.81,4.4893,1.81,4.4376
1.82,4.4875,1.82,4.4634
1.83,4.5444,1.83,4.4892
1.84,4.5732,1.84,4.515
1.85,4.5708,1.85,4.5408
1.86,4.6237,1.86,4.5666
1.87,4.6259,1.87,4.5924
1.88,4.6817,1.88,4.6182
1.89,4.7081,1.89,4.644
1.9,4.7116,1.9,4.6698
1.91,4.7728,1.91,4.6956
1.92,4.7684,1.92,4.7214
1.93,4.8285,1.93,4.7472
1.94,4.856,1.94,4.773
1.95,4.8532,1.95,4.7988
1.96,4.9146,1.96,4.8246
1.97,4.9098,1.97,4.8504
1.98,4.9702,1.98,4.8762
1.99,5.0031,1.99,4.902
2,4.9994,2,4.9278
2.01,5.0623,2.01,4.9536
2.02,5.0555,2.02,4.9794
2.03,5.1198,2.03,5.0052
2.04,5.1509,2.04,5.031
2.05,5.1494,2.05,5.0568
2.06,5.2121,2.06,5.0826
2.07,5.2135,2.07,5.1084
2.08,5.2783,2.08,5.1342
2.09,5.3067,2.09,5.16
2.1,5.3014,2.1,5.1858
2.11,5.3647,2.11,5.2116
2.12,5.3651,2.12,5.2374
2.13,5.4306,2.13,5.2632
2.14,5.4596,2.14,5.289
2.15,5.4558,2.15,5.3148
2.16,5.5217,2.16,5.3406
2.17,5.5168,2.17,5.3664
2.18,5.5806,2.18,5.3922
2.19,5.6119,2.19,5.418
2.2,5.602,2.2,5.4438
2.21,5.6639,2.21,5.4696
2.22,5.6604,2.22,5.4954
2.23,5.7306,2.23,5.5212
2.24,5.7585,2.24,5.547
2.25,5.7472,2.25,5.5728
2.26,5.8159,2.26,5.5986
2.27,5.8051,2.27,5.6244
