Distance_(mm),Gray_Value
0.0000,33.834
0.0261,33.942
0.0523,33.334
0.0784,32.906
0.1046,32.747
0.1307,32.805
0.1569,33.178
0.1830,33.453
0.2092,33.532
0.2353,33.607
0.2615,33.626
0.2876,33.642
0.3138,33.628
0.3399,33.750
0.3661,34.236
0.3922,34.477
0.4184,34.575
0.4445,34.560
0.4707,33.992
0.4968,33.519
0.5230,33.383
0.5491,33.468
0.5753,33.592
0.6014,33.915
0.6276,33.808
0.6537,33.364
0.6799,32.960
0.7060,32.683
0.7322,32.581
0.7583,32.655
0.7845,33.006
0.8106,33.283
0.8368,33.554
0.8629,33.747
0.8891,33.737
0.9152,33.745
0.9414,33.628
0.9675,33.691
0.9937,34.085
1.0198,34.284
1.0460,34.408
1.0721,34.758
1.0983,35.277
1.1244,35.673
1.1505,36.191
1.1767,36.305
1.2028,36.189
1.2290,36.197
1.2551,36.226
1.2813,36.084
1.3074,36.395
1.3336,37.062
1.3597,37.521
1.3859,37.517
1.4120,37.257
1.4382,37.092
1.4643,36.969
1.4905,37.002
1.5166,37.110
1.5428,36.974
1.5689,37.056
1.5951,36.985
1.6212,36.917
1.6474,36.893
1.6735,37.062
1.6997,37.193
1.7258,37.229
1.7520,36.986
1.7781,37.011
1.8043,37.155
1.8304,36.994
1.8566,36.419
1.8827,35.926
1.9089,36.055
1.9350,35.864
1.9612,35.636
1.9873,35.025
2.0135,34.153
2.0396,33.712
2.0658,33.992
2.0919,34.636
2.1181,35.212
2.1442,35.800
2.1704,36.292
2.1965,36.386
2.2226,36.505
2.2488,37.029
2.2749,37.497
2.3011,38.071
2.3272,38.586
2.3534,38.725
2.3795,38.684
2.4057,38.979
2.4318,39.335
2.4580,39.768
2.4841,40.389
2.5103,40.720
2.5364,40.421
2.5626,40.252
2.5887,40.528
2.6149,40.702
2.6410,40.802
2.6672,40.869
2.6933,40.817
2.7195,40.949
2.7456,41.125
2.7718,41.055
2.7979,40.924
2.8241,40.622
2.8502,40.370
2.8764,40.508
2.9025,40.658
2.9287,40.747
2.9548,40.692
2.9810,40.445
3.0071,40.280
3.0333,40.096
3.0594,40.003
3.0856,39.720
3.1117,39.301
3.1379,39.105
3.1640,38.719
3.1902,38.407
3.2163,38.335
3.2425,38.266
3.2686,38.058
3.2948,37.750
3.3209,37.722
3.3470,37.655
3.3732,37.630
3.3993,37.672
3.4255,37.791
3.4516,38.256
3.4778,38.711
3.5039,39.234
3.5301,39.645
3.5562,40.099
3.5824,40.599
3.6085,41.547
3.6347,42.862
3.6608,44.003
3.6870,44.588
3.7131,45.309
3.7393,45.795
3.7654,45.848
3.7916,45.855
3.8177,46.186
3.8439,46.598
3.8700,47.070
3.8962,47.221
3.9223,47.402
3.9485,47.379
3.9746,47.536
4.0008,47.857
4.0269,48.098
4.0531,48.444
4.0792,48.560
4.1054,48.462
4.1315,48.709
4.1577,48.716
4.1838,49.137
4.2100,49.365
4.2361,49.849
4.2623,50.286
4.2884,50.275
4.3146,50.422
4.3407,50.654
4.3669,50.754
4.3930,50.637
4.4192,50.742
4.4453,51.518
4.4714,52.088
4.4976,52.272
4.5237,52.123
4.5499,52.398
4.5760,52.851
4.6022,53.523
4.6283,54.270
4.6545,54.989
4.6806,55.754
4.7068,56.172
4.7329,56.508
4.7591,56.620
4.7852,56.971
4.8114,57.303
4.8375,57.496
4.8637,57.730
4.8898,58.264
4.9160,58.606
4.9421,58.603
4.9683,58.895
4.9944,59.519
5.0206,60.205
5.0467,60.751
5.0729,61.196
5.0990,61.485
5.1252,61.528
5.1513,61.514
5.1775,61.620
5.2036,61.727
5.2298,61.669
5.2559,61.921
5.2821,62.111
5.3082,62.303
5.3344,62.239
5.3605,62.210
5.3867,62.708
5.4128,63.782
5.4390,64.169
5.4651,63.939
5.4913,63.791
5.5174,63.858
5.5435,64.298
5.5697,64.775
5.5958,65.456
5.6220,66.406
5.6481,67.256
5.6743,67.770
5.7004,68.013
5.7266,68.240
5.7527,68.643
5.7789,69.208
5.8050,69.399
5.8312,69.529
5.8573,69.925
5.8835,70.403
5.9096,70.605
5.9358,70.789
5.9619,71.271
5.9881,71.579
6.0142,72.043
6.0404,72.217
6.0665,72.287
6.0927,72.318
6.1188,72.460
6.1450,72.600
6.1711,73.089
6.1973,73.130
6.2234,72.850
6.2496,72.366
6.2757,71.995
6.3019,72.059
6.3280,72.100
6.3542,72.346
6.3803,72.341
6.4065,72.320
6.4326,72.482
6.4588,72.395
6.4849,72.337
6.5111,72.440
6.5372,72.454
6.5634,72.600
6.5895,72.136
6.6157,71.942
6.6418,71.841
6.6679,71.821
6.6941,71.834
6.7202,71.803
6.7464,72.069
6.7725,72.450
6.7987,72.744
6.8248,72.980
6.8510,73.134
6.8771,73.491
6.9033,73.854
6.9294,74.140
6.9556,74.005
6.9817,73.858
7.0079,73.978
7.0340,74.826
7.0602,75.662
7.0863,76.213
7.1125,76.634
7.1386,76.612
7.1648,76.599
7.1909,76.473
7.2171,76.625
7.2432,76.605
7.2694,76.578
7.2955,76.354
7.3217,76.084
7.3478,76.001
7.3740,76.108
7.4001,76.125
7.4263,76.108
7.4524,75.897
7.4786,75.593
7.5047,75.355
7.5309,75.232
7.5570,75.052
7.5832,74.925
7.6093,74.710
7.6355,74.386
7.6616,73.836
7.6878,73.187
7.7139,72.339
7.7401,71.361
7.7662,70.338
7.7923,69.125
7.8185,67.971
7.8446,67.354
7.8708,67.221
7.8969,67.390
7.9231,67.651
7.9492,67.538
7.9754,67.238
8.0015,67.328
8.0277,67.869
8.0538,68.481
8.0800,69.006
8.1061,69.889
8.1323,70.461
8.1584,71.342
8.1846,72.444
8.2107,73.756
8.2369,74.912
8.2630,75.671
8.2892,76.315
8.3153,76.853
8.3415,77.206
8.3676,77.369
8.3938,78.073
8.4199,78.879
8.4461,79.182
8.4722,78.944
8.4984,78.437
8.5245,77.840
8.5507,77.373
8.5768,77.094
8.6030,77.298
8.6291,77.415
8.6553,77.174
8.6814,76.120
8.7076,75.212
8.7337,75.514
8.7599,75.907
8.7860,75.632
8.8122,75.286
8.8383,75.191
8.8644,74.731
8.8906,74.313
8.9167,73.667
8.9429,73.101
8.9690,72.638
8.9952,72.414
9.0213,72.218
9.0475,71.793
9.0736,71.214
9.0998,70.399
9.1259,69.631
9.1521,69.521
9.1782,69.658
9.2044,69.931
9.2305,70.088
9.2567,70.116
9.2828,70.207
9.3090,70.227
9.3351,70.351
9.3613,70.934
9.3874,71.796
9.4136,72.825
9.4397,73.549
9.4659,74.153
9.4920,74.431
9.5182,74.482
9.5443,74.551
9.5705,74.790
9.5966,74.888
9.6228,75.035
9.6489,74.844
9.6751,74.710
9.7012,74.935
9.7274,75.015
9.7535,74.884
9.7797,74.652
9.8058,74.798
9.8320,74.830
9.8581,74.666
9.8843,74.468
9.9104,74.229
9.9366,74.078
9.9627,74.073
9.9888,73.960
10.0150,74.077
10.0411,74.654
10.0673,75.175
10.0934,75.228
10.1196,74.928
10.1457,74.656
10.1719,74.155
10.1980,74.370
10.2242,74.703
10.2503,75.013
10.2765,75.113
10.3026,74.872
10.3288,74.839
10.3549,75.106
10.3811,75.743
10.4072,76.751
10.4334,77.154
10.4595,76.855
10.4857,77.047
10.5118,78.184
10.5380,79.204
10.5641,79.685
10.5903,80.227
10.6164,81.172
10.6426,82.196
10.6687,83.201
10.6949,83.224
10.7210,83.166
10.7472,83.583
10.7733,83.556
10.7995,83.515
10.8256,83.874
10.8518,84.022
10.8779,83.903
10.9041,83.780
10.9302,83.657
10.9564,83.873
10.9825,84.171
11.0087,84.052
11.0348,83.383
11.0610,82.808
11.0871,82.569
11.1132,82.558
11.1394,82.499
11.1655,82.549
11.1917,82.774
11.2178,82.466
11.2440,81.923
11.2701,81.349
11.2963,81.481
11.3224,82.059
11.3486,82.710
11.3747,82.753
11.4009,82.322
11.4270,82.162
11.4532,82.455
11.4793,83.129
11.5055,83.505
11.5316,83.428
11.5578,83.213
11.5839,83.196
11.6101,83.323
11.6362,83.733
11.6624,84.121
11.6885,84.189
11.7147,84.113
11.7408,83.723
11.7670,83.512
11.7931,83.746
11.8193,83.974
11.8454,84.003
11.8716,84.010
11.8977,84.222
11.9239,84.516
11.9500,84.871
11.9762,85.297
12.0023,85.780
12.0285,86.404
12.0546,86.306
12.0808,85.502
12.1069,84.996
12.1331,84.733
12.1592,85.018
12.1853,85.440
12.2115,85.666
12.2376,85.485
12.2638,84.939
12.2899,84.803
12.3161,85.018
12.3422,85.128
12.3684,84.933
12.3945,84.697
12.4207,84.420
12.4468,84.504
12.4730,84.760
12.4991,85.049
12.5253,85.473
12.5514,85.908
12.5776,86.705
12.6037,87.574
12.6299,88.503
12.6560,89.944
12.6822,91.310
12.7083,92.569
12.7345,94.036
12.7606,95.659
12.7868,97.132
12.8129,98.311
12.8391,99.154
12.8652,99.716
12.8914,100.731
12.9175,102.757
12.9437,104.528
12.9698,104.897
12.9960,105.338
13.0221,105.410
13.0483,106.103
13.0744,106.731
13.1006,106.954
13.1267,107.329
13.1529,107.800
13.1790,108.434
13.2052,108.755
13.2313,109.374
13.2575,110.358
13.2836,110.661
13.3097,110.801
13.3359,110.879
13.3620,111.040
13.3882,110.280
13.4143,109.893
13.4405,110.340
13.4666,110.955
13.4928,111.791
13.5189,112.047
13.5451,112.426
13.5712,112.759
13.5974,113.442
