Distance_(mm),Gray_Value
4.7910,97.388
4.8045,98.197
4.8181,99.188
4.8317,99.903
4.8453,100.495
4.8588,100.525
4.8724,100.148
4.8860,99.851
4.8995,99.591
4.9131,99.089
4.9267,98.774
4.9403,98.977
4.9538,99.178
4.9674,99.205
4.9810,99.153
4.9945,99.079
5.0081,99.306
5.0217,99.690
5.0353,99.881
5.0488,99.548
5.0624,99.270
5.0760,99.169
5.0895,98.731
5.1031,97.568
5.1167,96.638
5.1303,95.821
5.1438,95.556
5.1574,95.485
5.1710,95.490
5.1846,95.472
5.1981,95.277
5.2117,95.215
5.2253,95.441
5.2388,95.653
5.2524,95.947
5.2660,96.207
5.2796,96.511
5.2931,96.727
5.3067,96.533
5.3203,96.245
5.3338,96.168
5.3474,96.497
5.3610,97.253
5.3746,97.930
5.3881,98.242
5.4017,98.939
5.4153,99.642
5.4289,100.421
5.4424,101.301
5.4560,102.188
5.4696,103.071
5.4831,103.659
5.4967,104.066
5.5103,104.785
5.5239,105.506
5.5374,106.620
5.5510,108.016
5.5646,109.436
5.5781,110.765
5.5917,112.229
5.6053,113.843
5.6189,115.668
5.6324,117.287
5.6460,119.007
5.6596,120.964
5.6732,122.900
5.6867,124.251
5.7003,125.687
5.7139,126.676
5.7274,127.940
5.7410,129.483
5.7546,130.678
5.7682,131.730
5.7817,132.390
5.7953,133.234
5.8089,134.223
5.8224,135.070
5.8360,135.921
5.8496,136.665
5.8632,137.225
5.8767,137.631
5.8903,138.004
5.9039,138.503
5.9174,138.889
5.9310,139.433
5.9446,140.047
5.9582,140.668
5.9717,141.199
5.9853,141.358
5.9989,141.392
6.0125,141.329
6.0260,141.066
6.0396,140.977
6.0532,140.882
6.0667,140.835
6.0803,140.816
6.0939,140.887
6.1075,141.053
6.1210,141.414
6.1346,141.859
6.1482,142.125
6.1617,142.745
6.1753,143.286
6.1889,143.742
6.2025,143.946
6.2160,144.128
6.2296,144.051
6.2432,144.239
6.2568,144.345
6.2703,144.447
