Distance_(mm),Gray_Value
8.44266,20.275
8.46657,19.660
8.49049,18.551
8.51441,17.653
8.53832,16.391
8.56224,15.267
8.58616,14.192
8.61007,13.447
8.63399,12.952
8.65791,12.642
8.68183,12.219
8.70574,11.481
8.72966,10.927
8.75358,10.509
8.77749,10.181
