Distance_(mm),Gray_Value
8.5085,100.294
8.5326,100.088
8.5567,99.689
8.5808,99.193
8.6049,99.200
8.6290,99.803
8.6531,99.723
8.6772,99.732
8.7013,99.847
8.7254,99.701
8.7495,99.596
8.7736,99.706
8.7977,99.650
8.8218,99.849
8.8459,100.125
8.8700,99.894
8.8941,100.219
8.9183,101.017
8.9424,101.448
8.9665,101.997
8.9906,102.699
9.0147,103.486
9.0388,103.863
9.0629,104.049
9.0870,104.578
9.1111,105.293
9.1352,105.950
9.1593,106.546
9.1834,107.595
9.2075,108.483
9.2316,109.012
9.2557,109.441
9.2798,110.133
9.3039,110.763
9.3280,111.355
9.3521,112.318
9.3762,113.396
9.4003,113.615
9.4244,113.439
9.4485,113.747
9.4726,114.266
9.4967,114.352
9.5208,114.076
9.5449,114.370
9.5690,114.458
9.5931,114.184
9.6173,113.836
9.6414,113.787
9.6655,113.558
9.6896,113.124
9.7137,112.656
9.7378,112.512
9.7619,112.422
9.7860,112.179
9.8101,112.230
9.8342,112.364
9.8583,112.589
9.8824,112.884
9.9065,112.740
9.9306,112.589
9.9547,112.363
9.9788,112.175
10.0029,112.246
10.0270,112.242
10.0511,112.382
10.0752,112.239
10.0993,111.769
10.1234,111.741
10.1475,112.207
10.1716,112.351
10.1957,112.393
10.2198,112.587
10.2439,112.833
10.2680,113.355
10.2921,113.411
10.3162,113.858
10.3404,114.216
10.3645,114.165
10.3886,114.328
10.4127,114.810
10.4368,115.264
10.4609,115.670
10.4850,116.180
10.5091,116.274
10.5332,116.280
10.5573,116.637
10.5814,117.231
10.6055,117.662
10.6296,117.997
10.6537,118.234
10.6778,118.363
10.7019,118.227
10.7260,118.017
10.7501,118.008
10.7742,117.975
10.7983,117.616
10.8224,117.196
10.8465,116.899
10.8706,116.486
10.8947,116.053
10.9188,115.858
10.9429,116.274
10.9670,116.726
10.9911,117.380
11.0152,117.880
11.0393,118.011
11.0635,118.560
11.0876,119.227
11.1117,120.182
11.1358,121.322
11.1599,122.586
11.1840,123.850
11.2081,125.276
11.2322,126.797
11.2563,127.737
11.2804,128.904
11.3045,130.618
11.3286,132.156
11.3527,133.053
11.3768,133.855
11.4009,135.041
11.4250,135.693
11.4491,137.091
11.4732,138.313
11.4973,138.864
11.5214,139.196
11.5455,139.237
11.5696,139.120
11.5937,138.883
11.6178,139.274
11.6419,139.370
11.6660,138.876
11.6901,139.171
11.7142,139.519
11.7383,140.316
11.7625,141.136
11.7866,141.719
11.8107,142.076
11.8348,142.400
11.8589,142.778
11.8830,142.511
11.9071,141.697
11.9312,140.232
11.9553,139.020
11.9794,138.073
12.0035,136.693
12.0276,135.371
12.0517,134.241
12.0758,132.941
12.0999,131.378
12.1240,129.774
12.1481,129.087
12.1722,128.981
12.1963,129.260
12.2204,129.968
12.2445,131.357
12.2686,133.400
12.2927,135.292
12.3168,137.780
12.3409,140.282
12.3650,142.571
12.3891,144.416
12.4132,146.234
12.4373,147.994
12.4614,149.093
12.4856,149.790
12.5097,150.628
12.5338,151.187
12.5579,151.920
12.5820,152.664
12.6061,153.300
12.6302,153.776
12.6543,154.268
12.6784,154.714
12.7025,155.421
12.7266,156.522
12.7507,157.274
12.7748,157.750
12.7989,158.219
12.8230,158.134
12.8471,157.909
12.8712,158.232
12.8953,158.644
12.9194,159.276
12.9435,159.669
12.9676,159.746
12.9917,159.614
13.0158,159.548
13.0399,158.841
13.0640,157.625
13.0881,156.314
13.1122,154.758
13.1363,153.001
13.1604,151.167
13.1846,149.555
13.2087,148.038
13.2328,146.411
13.2569,145.169
13.2810,144.797
13.3051,144.796
13.3292,145.131
13.3533,145.699
13.3774,146.642
13.4015,147.744
13.4256,149.138
13.4497,150.485
13.4738,151.982
13.4979,153.354
13.5220,154.334
13.5461,155.376
13.5702,156.404
13.5943,157.416
13.6184,158.284
13.6425,158.839
13.6666,159.166
13.6907,159.733
13.7148,159.924
13.7389,159.966
13.7630,160.654
13.7871,161.246
13.8112,161.579
13.8353,162.426
13.8594,163.213
13.8835,163.636
13.9077,164.024
13.9318,164.536
13.9559,165.013
13.9800,165.333
14.0041,165.885
14.0282,165.953
14.0523,165.999
14.0764,166.202
14.1005,166.503
14.1246,166.884
14.1487,167.115
14.1728,167.382
14.1969,167.480
14.2210,167.437
14.2451,167.415
14.2692,167.082
14.2933,166.870
14.3174,166.881
14.3415,166.843
14.3656,166.728
14.3897,166.843
14.4138,166.488
14.4379,166.331
14.4620,166.551
14.4861,166.866
14.5102,167.092
14.5343,167.189
14.5584,167.465
14.5825,167.825
14.6067,168.450
14.6308,169.066
14.6549,169.696
14.6790,170.259
14.7031,170.862
14.7272,171.484
14.7513,171.958
14.7754,171.910
14.7995,171.938
14.8236,172.157
14.8477,172.422
14.8718,172.712
14.8959,172.782
14.9200,172.832
14.9441,172.702
14.9682,172.406
14.9923,172.016
15.0164,171.373
15.0405,170.601
15.0646,170.074
15.0887,169.592
15.1128,169.025
15.1369,168.405
15.1610,168.228
15.1851,168.430
15.2092,168.381
15.2333,168.372
15.2574,168.197
15.2815,168.015
15.3056,168.107
15.3298,168.336
15.3539,168.480
15.3780,168.480
15.4021,168.472
15.4262,168.393
15.4503,168.499
15.4744,168.832
15.4985,169.206
15.5226,169.731
15.5467,170.237
15.5708,170.657
15.5949,171.455
15.6190,172.178
15.6431,172.976
15.6672,173.602
15.6913,174.388
15.7154,175.594
15.7395,176.376
15.7636,177.110
15.7877,177.820
15.8118,178.309
15.8359,178.843
15.8600,179.183
15.8841,179.453
15.9082,180.070
15.9323,180.516
15.9564,180.684
15.9805,180.774
16.0046,181.203
16.0288,181.480
16.0529,181.672
16.0770,181.891
16.1011,182.079
16.1252,182.343
16.1493,182.449
16.1734,182.258
16.1975,182.036
16.2216,181.894
16.2457,181.730
16.2698,181.710
16.2939,181.624
16.3180,181.734
16.3421,181.505
16.3662,181.036
16.3903,180.910
16.4144,180.845
16.4385,180.759
16.4626,180.814
16.4867,180.999
16.5108,181.399
16.5349,182.024
16.5590,182.831
16.5831,183.566
16.6072,184.349
16.6313,184.862
16.6554,185.162
16.6795,185.228
16.7036,185.547
16.7277,185.877
16.7519,185.932
16.7760,185.979
16.8001,186.110
16.8242,186.189
16.8483,186.160
16.8724,186.284
16.8965,186.650
16.9206,187.053
16.9447,187.449
16.9688,187.774
16.9929,188.050
17.0170,188.215
17.0411,188.261
17.0652,188.466
17.0893,188.531
17.1134,188.757
17.1375,188.936
17.1616,189.069
17.1857,189.118
17.2098,189.182
17.2339,189.037
17.2580,188.726
17.2821,188.225
17.3062,187.568
17.3303,186.749
17.3544,185.830
17.3785,185.235
17.4026,185.170
17.4267,185.302
17.4508,185.517
17.4750,185.779
17.4991,185.941
17.5232,186.143
17.5473,186.553
17.5714,186.803
17.5955,187.785
17.6196,189.178
17.6437,190.491
17.6678,191.181
17.6919,191.794
17.7160,192.510
17.7401,192.634
17.7642,193.043
17.7883,193.362
17.8124,193.581
17.8365,193.780
17.8606,194.009
17.8847,194.550
17.9088,195.001
17.9329,195.489
17.9570,195.884
17.9811,195.996
18.0052,195.897
18.0293,195.728
18.0534,195.727
18.0775,195.862
18.1016,196.105
18.1257,196.470
18.1498,196.846
18.1740,197.140
18.1981,197.175
18.2222,197.054
18.2463,196.938
18.2704,196.908
18.2945,197.035
18.3186,197.024
18.3427,196.849
18.3668,196.755
18.3909,196.338
18.4150,195.773
18.4391,195.531
18.4632,195.432
18.4873,195.118
18.5114,195.071
18.5355,194.869
18.5596,194.531
18.5837,194.393
18.6078,194.115
18.6319,193.927
18.6560,194.097
18.6801,194.636
18.7042,195.281
18.7283,195.608
18.7524,195.924
18.7765,196.251
18.8006,196.426
18.8247,196.843
18.8488,197.052
18.8729,197.242
18.8971,197.260
18.9212,197.291
18.9453,197.417
18.9694,197.905
18.9935,198.216
19.0176,198.339
19.0417,198.179
19.0658,198.076
19.0899,198.073
19.1140,198.052
19.1381,198.016
19.1622,197.887
19.1863,197.533
19.2104,197.516
19.2345,197.503
19.2586,197.612
19.2827,197.676
19.3068,197.886
19.3309,197.785
19.3550,197.579
19.3791,197.343
19.4032,197.534
19.4273,197.874
19.4514,198.375
19.4755,198.954
19.4996,199.552
19.5237,199.783
19.5478,199.556
19.5719,199.153
19.5961,198.813
19.6202,198.785
19.6443,199.094
19.6684,199.296
19.6925,199.352
19.7166,199.401
19.7407,199.742
19.7648,200.261
19.7889,200.831
19.8130,201.403
19.8371,201.997
19.8612,202.192
19.8853,202.152
19.9094,202.331
19.9335,202.407
19.9576,202.654
19.9817,202.811
20.0058,202.836
20.0299,203.027
20.0540,203.273
20.0781,203.486
20.1022,204.051
20.1263,204.704
20.1504,205.689
20.1745,206.378
20.1986,206.814
20.2227,206.684
20.2468,205.930
20.2709,205.505
20.2950,204.815
20.3192,203.967
20.3433,203.481
20.3674,203.570
20.3915,203.779
20.4156,203.639
20.4397,203.526
20.4638,203.394
20.4879,203.551
20.5120,204.064
20.5361,204.651
20.5602,205.098
20.5843,204.984
20.6084,204.923
20.6325,205.251
20.6566,205.552
20.6807,206.533
20.7048,207.169
20.7289,207.209
20.7530,207.921
20.7771,207.009
20.8012,206.300
20.8253,205.922
20.8494,206.195
20.8735,206.914
20.8976,207.486
20.9217,208.097
20.9458,208.138
20.9699,208.651
